Date,INDU,SPX,AS30,UKX,ASX
5/26/1920,90.01,NA,NA,NA,NA
5/27/1920,91.01,NA,NA,NA,NA
5/28/1920,91.81,NA,NA,NA,NA
5/31/1920,91.81,NA,NA,NA,NA
6/1/1920,90.2,NA,NA,NA,NA
6/2/1920,90.65,NA,NA,NA,NA
6/3/1920,90.9,NA,NA,NA,NA
6/4/1920,91.9,NA,NA,NA,NA
6/7/1920,91.13,NA,NA,NA,NA
6/8/1920,91.46,NA,NA,NA,NA
6/9/1920,92.2,NA,NA,NA,NA
6/10/1920,91.92,NA,NA,NA,NA
6/11/1920,93.06,NA,NA,NA,NA
6/14/1920,91.75,NA,NA,NA,NA
6/15/1920,91.68,NA,NA,NA,NA
6/16/1920,91.75,NA,NA,NA,NA
6/17/1920,91.37,NA,NA,NA,NA
6/18/1920,92,NA,NA,NA,NA
6/21/1920,91.32,NA,NA,NA,NA
6/22/1920,90.16,NA,NA,NA,NA
6/23/1920,90.83,NA,NA,NA,NA
6/24/1920,90.88,NA,NA,NA,NA
6/25/1920,90.95,NA,NA,NA,NA
6/28/1920,90.45,NA,NA,NA,NA
6/29/1920,90.36,NA,NA,NA,NA
6/30/1920,90.76,NA,NA,NA,NA
7/1/1920,91.26,NA,NA,NA,NA
7/2/1920,92.2,NA,NA,NA,NA
7/5/1920,92.2,NA,NA,NA,NA
7/6/1920,93,NA,NA,NA,NA
7/7/1920,94.04,NA,NA,NA,NA
7/8/1920,94.51,NA,NA,NA,NA
7/9/1920,94.43,NA,NA,NA,NA
7/12/1920,92.08,NA,NA,NA,NA
7/13/1920,91.58,NA,NA,NA,NA
7/14/1920,91.2,NA,NA,NA,NA
7/15/1920,90.26,NA,NA,NA,NA
7/16/1920,89.95,NA,NA,NA,NA
7/19/1920,90.21,NA,NA,NA,NA
7/20/1920,90.68,NA,NA,NA,NA
7/21/1920,90.45,NA,NA,NA,NA
7/22/1920,90.74,NA,NA,NA,NA
7/23/1920,89.63,NA,NA,NA,NA
7/26/1920,87.66,NA,NA,NA,NA
7/27/1920,87.68,NA,NA,NA,NA
7/28/1920,86.96,NA,NA,NA,NA
7/29/1920,87.89,NA,NA,NA,NA
7/30/1920,86.86,NA,NA,NA,NA
8/2/1920,84.95,NA,NA,NA,NA
8/3/1920,85.54,NA,NA,NA,NA
8/4/1920,85.58,NA,NA,NA,NA
8/5/1920,84.06,NA,NA,NA,NA
8/6/1920,84.56,NA,NA,NA,NA
8/9/1920,83.24,NA,NA,NA,NA
8/10/1920,83.2,NA,NA,NA,NA
8/11/1920,84.83,NA,NA,NA,NA
8/12/1920,84.75,NA,NA,NA,NA
