HISTORICAL DATA FOR NYSE COMPOSITE INDEX (SYMBOL NYA) ,,,
DATE,CLOSING PRICE,TOTAL RETURN,MARKET CAP
12/6/1979,653.46,N/A,N/A
12/7/1979,650.92,N/A,N/A
12/10/1979,651.98,N/A,N/A
12/11/1979,650.81,N/A,N/A
12/12/1979,651.13,N/A,N/A
12/13/1979,652.19,N/A,N/A
12/14/1979,659.27,N/A,N/A
12/17/1979,662.02,N/A,N/A
12/18/1979,656.21,N/A,N/A
12/19/1979,655.57,N/A,N/A
12/20/1979,656.42,N/A,N/A
12/21/1979,652.72,N/A,N/A
12/24/1979,652.82,N/A,N/A
12/26/1979,653.67,N/A,N/A
12/27/1979,654.62,N/A,N/A
12/28/1979,654.3,N/A,N/A
12/31/1979,655.04,N/A,N/A
1/3/1980,638.02,N/A,N/A
1/4/1980,646.8,N/A,N/A
1/7/1980,649.23,N/A,N/A
1/8/1980,661.81,N/A,N/A
1/9/1980,663.18,N/A,N/A
1/10/1980,668.79,N/A,N/A
1/11/1980,669.63,N/A,N/A
1/14/1980,672.28,N/A,N/A
1/15/1980,676.19,N/A,N/A
1/16/1980,676.19,N/A,N/A
1/17/1980,674.6,N/A,N/A
1/18/1980,676.08,N/A,N/A
1/21/1980,682.11,N/A,N/A
1/22/1980,678.09,N/A,N/A
1/23/1980,688.67,N/A,N/A
1/24/1980,690.68,N/A,N/A
1/25/1980,690.15,N/A,N/A
1/28/1980,697.44,N/A,N/A
1/29/1980,692.47,N/A,N/A
1/30/1980,699.35,N/A,N/A
1/31/1980,693.74,N/A,N/A
2/1/1980,698.71,N/A,N/A
2/4/1980,694.59,N/A,N/A
2/5/1980,696.07,N/A,N/A
2/6/1980,701.99,N/A,N/A
2/7/1980,705.16,N/A,N/A
2/8/1980,714.47,N/A,N/A
2/11/1980,709.6,N/A,N/A
2/12/1980,713.83,N/A,N/A
2/13/1980,716.58,N/A,N/A
2/14/1980,706.54,N/A,N/A
2/15/1980,699.35,N/A,N/A
2/19/1980,693.85,N/A,N/A
2/20/1980,704.32,N/A,N/A
2/21/1980,698.18,N/A,N/A
2/22/1980,695.75,N/A,N/A
2/25/1980,685.07,N/A,N/A
2/26/1980,688.77,N/A,N/A
2/27/1980,679.89,N/A,N/A
2/28/1980,679.57,N/A,N/A
2/29/1980,686.76,N/A,N/A
3/3/1980,680.42,N/A,N/A
3/4/1980,680.53,N/A,N/A
3/5/1980,670.16,N/A,N/A
3/6/1980,654.94,N/A,N/A
3/7/1980,644.57,N/A,N/A
3/10/1980,640.66,N/A,N/A
3/11/1980,648.49,N/A,N/A
3/12/1980,643.52,N/A,N/A
3/13/1980,636.54,N/A,N/A
